Type UserName GivenName GamePlayed GameWon GameDrawn
Human AABqpf wqe dsa 0 0 0
AI CMMnnb wqe dsa 0 0 0
AI CNKbhy wqe dsa 0 0 0
Human EDDphe wqe dsa 0 0 0
AI GSQyjc wqe dsa 0 0 0
Human HZQpgz wqe dsa 0 0 0
Human IMFldj wqe dsa 0 0 0
Human IPVgov wqe dsa 0 0 0
AI JLWkzt wqe dsa 0 0 0
Human KPXulq wqe dsa 0 0 0
AI LGJvga wqe dsa 0 0 0
AI MLLekt wqe dsa 0 0 0
AI NLYigj wqe dsa 0 0 0
Human OMVlfq wqe dsa 0 0 0
AI PQWlyr wqe dsa 0 0 0
Human PWCeui wqe dsa 0 0 0
Human PWTdkv wqe dsa 0 0 0
Human QZNdnj wqe dsa 0 0 0
AI REWovl wqe dsa 0 0 0
AI TBNuge wqe dsa 0 0 0
